Question,Class
What was Andrew Jackson's wife's name?,UNC
How old do you have to be to get married in South Carolina?,DESC
"Who starred in ""The Poseidon Adventure""?",HUM
Where is Devil's Tower?,LOC
What is the height of the tallest redwood?,UNC
What site did Lindbergh begin his flight from in 1927?,UNC
What nation is home to the Kaaba?,UNC
What was the name of Stonewall Jackson's horse?,UNC
How many states were still united after the southern states seceded?,DESC
What body of water does the Colorado River flow into?,UNC
How deep is Crater Lake?,DESC
Who was the lead singer for the Commodores?,HUM
What is the coldest place on earth?,UNC
What is the chemical formula for sulphur dioxide?,UNC
When did Bob Marley die?,UNC
What female leader succeeded Ferdinand Marcos as president of the Philippines?,UNC
When is Snoop Dog's birthday?,UNC
How did Mahatma Gandhi die?,DESC
What is the capital of Syria?,UNC
What is the fear of lightning called?,UNC
What college did Magic Johnson attend?,UNC
Which U.S. state is the leading corn producer?,UNC
Where was the first McDonalds built?,LOC
What is the name given to a collection of poetry?1,UNC
Where was the first J.C. Penney store opened?,LOC
How much money does the U.S. supreme court make?,DESC
The Hindenburg disaster took place in 1937 in which New Jersey town?,UNC
What is the Keystone State?,UNC
Who succeeded Ferdinand Marcos?,HUM
"What was the name of the high school in ""Grease""?",UNC
What is one national park in Indiana?,UNC
What was the name of the dog in the Thin Man movies?,UNC
What country's leader was awarded the 2000 Nobel Peace Prize?,UNC
Where is the oldest synagogue in the United States?,LOC
What is the North Korean national anthem?,UNC
"Who is the detective on ""Diagnosis Murder""?",HUM
What company makes Bentley cars?,UNC
How tall is Allen Iverson?,DESC
What year did South Dakota become a state?,UNC
"If something has petrified, what has it turned into?",UNC
When did Alexandra Graham Bell invent the telephone?,UNC
When did president Herbert Hoover die?,UNC
How fast does a cheetah run?,DESC
"How do you say ""house"" in Spanish?",DESC
When was Lyndon B. Johnson born?,UNC
What is the lowest point on earth?,UNC
Who was the first person to reach the south pole?,HUM
Who was the Roman god of the sea?,HUM
What are wavelengths measured in?,UNC
"What is the name of the heroine in ""Gone with the Wind""?",UNC
"Who composed ""The Messiah""?",HUM
What is the principle port in Ecuador?,UNC
What is the capital city of Algeria?,UNC
"What county is Wilmington, Delaware in?",UNC
Where is the highest point on earth?,LOC
What college did Allen Iverson attend?,UNC
"What is slang for a ""five dollar bill""?",UNC
"Where did Roger Williams, pianist, grow up?",LOC
How much are tickets to Disney World?,DESC
What continent is India on?,UNC
What is the Boston Strangler's name?,UNC
What was the name of Sherlock Holmes' brother?,UNC
How old was Nolan Ryan when he retired?,DESC
When was Davy Crockett born?,UNC
"Who wrote ""East is east, west is west and never the twain shall meet""?",HUM
How did Molly Shannon's mother die?,DESC
What country is Berlin in?,UNC
"What was the original name before ""The Star Spangled Banner""?",UNC
What school did Emmitt Smith go to?,UNC
Which African country's major export is coffee?,UNC
Where is Georgetown University?,LOC
How much of U.S. power is from nuclear energy?,DESC
What year was President Kennedy killed?,UNC
What is the world's second largest island?,UNC
Where is the Salton Sea?,LOC
What is the currency used in China?,UNC
What's the name of King Arthur's sword?,UNC
What is the national anthem in England?,UNC
What was Dale Evans' horse's name?,UNC
What is Frank Sinatra's nickname?,UNC
Where is Anne Frank's diary?,LOC
"Who said ""Music hath charm to soothe the savage beast""?",HUM
What is the age of our solar system?,UNC
"What is the current population in Bombay, India?",UNC
What is Canada's most populous city?,UNC
What was Dr. Seuss' real name?,UNC
What does CPR stand for?,UNC
What is the state bird of Alaska?,UNC
What year did Marco Polo travel to Asia?,UNC
Where was Hans Christian Anderson born?,LOC
What is the capital of Kentucky?,UNC
What year did Ellis Island open its doors to immigrants?,UNC
What are the headpieces called that the Saudi Arabians wear?,UNC
What percent of the U.S. is African American?,UNC
What is the name of the ballpark that the Milwaukee Brewers play at?,UNC
What university did Thomas Jefferson found?,UNC
What is the city of brotherly love?,UNC
When did the 6-day war begin?,UNC
Where did Kublai Khan live?,LOC
What is the oldest college bowl game?,UNC
What is the capital city of New Zealand?,UNC
What does NASDAQ stand for?,UNC
What is the literacy rate in Cuba?,UNC
"Who directed the film ""Fail Safe""?",HUM
The sun is mostly made up of what two gasses?,UNC
"Who painted ""Sunflowers""?",HUM
What city is Lake Washington by?,UNC
How many electoral college votes in Tennessee?,DESC
"Who is the evil H.R. Director in ""Dilbert""?",HUM
What is Ronald Reagan's favorite candy?,UNC
What is the deepest lake in America?,UNC
What president is on a quarter?,UNC
Where is Hill Air Force Base?,LOC
How tall was Judy Garland?,DESC
What is the most populated country in the world?,UNC
What is a female rabbit called?,UNC
"What year was the movie ""Ole Yeller"" made?",UNC
What is the atomic number of uranium?,UNC
What was the first name of the Gehrig who played for the New York Yankees?,UNC
What year was the PC invented?,UNC
What is the southwestern-most tip of England?,UNC
What does DNA stand for?,UNC
What did Charles Babbage invent?,UNC
Who makes Magic Chef refrigerators?,HUM
What is the scientific name for tobacco?,UNC
When was the Tet offensive in Vietnam?,UNC
What cemetery is Thurgood Marshall buried in?,UNC
What was the first satellite in space?,UNC
How much does it cost to register a car in New Hampshire?,DESC
Where did Dr. King give his speech in Washington?,LOC
What was Denzel Washington's first television series?,UNC
When was the first patent filed on the ice cream cone?,UNC
Where did the U.S. Civil War begin?,LOC
Who started the Protestant reformation?,HUM
When did Led Zeppelin appear on BBC?,UNC
What is Karl Malone's nickname?,UNC
What famous Spanish poet died in Spain's Civil War?,UNC
When did the Black Panther party start in California?,UNC
How old was George Washington when he died?,DESC
When did the Vietnam War end?,UNC
What is the legal age to vote in Argentina?,UNC
How much copper is in a penny?,DESC
For whom was the state of Pennsylvania named?,UNC
Who is the head of the FBI?,HUM
"When did ""The Simpsons"" first appear on television?",UNC
What is the degree of tilt of Earth?,UNC
What galaxy is closest to the milky way?,UNC
"What Burns poem does ""the best laid plans of mice and men"" come from?",UNC
How tall is the Sphinx?,DESC
Which country exports the most tea?,UNC
What name is given to the science of map-making?,UNC
What anniversary is the 20th?,UNC
How high is a hand?,DESC
What is the text of an opera called?,UNC
When did George W. Bush get elected as the governor of Texas?,UNC
What is the chief religion for Peru?,UNC
When did the Golden Gate Bridge get finished?,UNC
What did Sherlock Holmes call the street gang that helped him crack cases?,UNC
When was Apollo 11 launched?,UNC
What do grasshoppers eat?,UNC
What percentage of the population is left handed?,UNC
When was the Reichstag burned down?,UNC
What percent of Egypt's population lives in Cairo?,UNC
Which long Lewis Carroll poem was turned into a musical on the London stage?,UNC
What person developed COBOL?,UNC
What year did Mussolini seize power in Italy?,UNC
Where is the French consulate in New York?,LOC
"Who was the baseball player given the nickname ""Mr. October""?",HUM
What is South Africa's total population?,UNC
What automobile company makes the Spider?,UNC
When did Einstein die?,UNC
Who holds the record as the highest paid child performer?,HUM
When did Robert E. Lee surrender in the Civil War?,UNC
What does R&B stand for?,UNC
How far would you run if you participate in a marathon?,DESC
What is the boiling point of water?,UNC
What is the normal blood sugar range for people?,UNC
What is the appropriate gift for a 10th anniversary?,UNC
What is the currency of Bolivia called?,UNC
Who signed the Declaration of Independence from Vermont?,HUM
What is the lifespan of a house fly?,UNC
When was the U.S. invasion of Haiti?,UNC
When was Benjamin Disraeli prime minister?,UNC
What is the capital of Victoria?,UNC
What is Africa's largest country?,UNC
When is Gerald Ford's birthday?,UNC
When did the Klondike gold rush occur?,UNC
Where is bile produced?,LOC
Which baseball star stole 130 bases in 1982?,UNC
What year was the first Macy's Thanksgiving Day Parade held?,UNC
Who was Woodrow Wilson's First Lady?,HUM
What is the active ingredient in Tylenol?,UNC
"What year did ""New Coke"" come out?",UNC
What is the deepest lake in the world?,UNC
What is Buzz Aldrin's real first name?,UNC
What is written on the U.S. tomb of the unknown soldier?,UNC
How much area does the Everglades cover?,DESC
Where is Mae West buried?,LOC
When was the dog domesticated?,UNC
What's the capacity of the Superdome?,UNC
How much protein is in tofu?,DESC
What roller coaster is the fastest in the world?,UNC
What is the area of Venezuela?,UNC
What is the name of the famous dogsledding race held each year in Alaska?,UNC
When was the battle of Chancellorsville fought?,UNC
What is the name of the five pointed star commonly used by Satanists?,UNC
What city in Australia has rain forests?,UNC
Who founded Taoism?,HUM
Where did 'N Sync get their name?,LOC
What do you call a baby sloth?,UNC
Who founded Rhode Island?,HUM
How far away from the sun is Saturn?,DESC
How much is the international space stations expected to cost?,DESC
When was the first atomic bomb dropped?,UNC
What continent is Scotland in?,UNC
What does TB stand for in baseball stats?,UNC
What year did the shuttle Challenger explode?,UNC
"What county is Elmira, NY in?",UNC
What is another name for the North Star?,UNC
When did the United States enter World War II?,UNC
"How do you say ""French fries"" in French?",DESC
Where is Prairie View A&M University?,LOC
Where was Abraham Lincoln born?,LOC
How fast does an Iguana travel (mph)?,DESC
What do the French call the English Channel?,UNC
What year was Robert Frost born?,UNC
Where was Bob Dylan born?,LOC
What is Elvis Presley's middle name?,UNC
"What does ""E Pluribus Unum"" mean?",UNC
When was Jerusalem invaded by the general Titus?,UNC
What are the people who make fireworks called?,UNC
Who was the first person to make the helicopter?,HUM
When did Marian Anderson sing at the Lincoln Memorial?,UNC
What is the name of the US military base in Cuba?,UNC
What is the abbreviation for the London stock exchange?,UNC
What is the oldest national park in the U.S.?,UNC
How tall is Mount McKinley?,DESC
Who was the Union general in the Battle of Winchester?,HUM
Where is Big Ben?,LOC
What Latin American country is the leading exporter of sugar cane?,UNC
What time of year does the peregrine falcon breed?,UNC
What day did Neil Armstrong land on the moon?,UNC
"What group sang the song ""Happy Together""?",UNC
When was water found on Mars?,UNC
How did Micky Mantle die?,DESC
Who was the U.S. president in 1929?,HUM
What is the diameter of the moon?,UNC
What country was ruled by King Arthur?,UNC
When did Houdini die?,UNC
When was Martin Luther King Jr. born?,UNC
What name is horror actor William Henry Pratt better known by?,UNC
What card game uses only 48 cards?,UNC
What is the most populous city in the United States?,UNC
Who defeated the Spanish armada?,HUM
What president declared Mothers' Day?,UNC
What year was the gateway arch built?,UNC
"What war is connected with the book ""Charge of the Light Brigade""?",UNC
What does DEA stand for?,UNC
"Where was the movie ""Somewhere in Time"" filmed?",LOC
How tall is the Eiffel Tower in France?,DESC
When was Jackie Robinson born?,UNC
What year did California become a territory?,UNC
What breed was Roy Rogers' horse Trigger?,UNC
When was the pencil first invented?,UNC
Where is the Statue of Liberty?,LOC
When was Julius Caesar born?,UNC
What city is Purdue University in?,UNC
Where is America's Stonehenge?,LOC
Where was President Lincoln buried?,LOC
"Whose business slogan is ""Quality is job 1""?",UNC
"What award did Sterling North's book ""Rascal"" win in 1963?",UNC
What is the normal pulse rate?,UNC
What is rum made out of?,UNC
What is the beginning date for the Hershey foods company?,UNC
What is the ranger's name in Yogi Bear cartoons?,UNC
When was the Exxon Valdez Oil spill?,UNC
What is the August birthstone?,UNC
What are the colors of the Italian flag?,UNC
When was the first jet invented?,UNC
Who invented the fishing reel?,HUM
What is the phobia for number 13?,UNC
What province in Canada is Niagara Falls located in?,UNC
How much vitamin C should you take in a day?,DESC
Who was the first Triple Crown Winner?,HUM
What city was the first in the world to have a population over one million?,UNC
When was the White House built?,UNC
What is the distance from Jupiter to the sun?,UNC
"When a game of baseball is forfeited, what is the score?",UNC
How far is the pitchers mound from home plate in softball?,DESC
What year did poet Emily Dickinson die?,UNC
What is Madonna's last name?,UNC
Who was one of the Egyptian gods?,HUM
Where did David Ogden Stiers get his undergraduate degree?,LOC
What is the name of the canopy at a Jewish wedding?,UNC
What does the abbreviation WASP mean?,UNC
When did Yankee Stadium first open?,UNC
What is the name of the airport in Amsterdam?,UNC
What is Mark Twain's real name?,UNC
What are the opening words of the Declaration of Independence?,UNC
Who is the president pro tempore of the US Senate?,HUM
"How do you say ""pig"" in Spanish?",DESC
What city is Southwestern University in?,UNC
Where on the body would you find the jowls?,LOC
How much sleep should a child get at night?,DESC
Where was the F Troop stationed?,LOC
What is the full name of conductor Seiji?,UNC
What is the Stanley Cup made of?,UNC
"What author wrote under the pen name ""Boz""?",UNC
When did the Mesozoic period end?,UNC
Which state has the longest coastline on the Atlantic Ocean?,UNC
What car company invented the Edsel?,UNC
What are hiccups caused by?,UNC
Who stabbed Monica Seles?,HUM
Where is the national hurricane center located?,LOC
When were the Los Angeles riots?,UNC
When was Sputnik launched?,UNC
What is Mexico's population?,UNC
Where is Mesa Verde National park?,LOC
When was the Oklahoma City bombing?,UNC
"When was the Vietnam Veterans Memorial in Washington, D.C. built?",UNC
When did the Persian Gulf War occur?,UNC
What was the profession of American patriot Paul Revere?,UNC
When is Fashion week in NYC?,UNC
When did the battle of Iwo Jima take place?,UNC
"What is the ""Sunflower State""?",UNC
"Who wrote ""Fiddler on the Roof?""",HUM
Where was C.S. Lewis born?,LOC
How many black keys are on the piano?,DESC
What is the name of Scarlett O'Hara's house?,UNC
How old is the universe?,DESC
What Cuban dictator did Fidel Castro force out of power in 1958?,UNC
What airport is LCY?,UNC
What is Australia's national blossom?,UNC
When was the first Ford Mustang made?,UNC
What TV series did Pierce Brosnan play in?,UNC
Who is the owner of the St. Petersburg Times?,HUM
"What is the highest recorded temperature in San Antonio, TX?",UNC
When was D-Day?,UNC
Who invented the cotton gin?,HUM
What was Aaron Copland's most famous piece of music?,UNC
What does HTML stand for?,UNC
What is a group of antelope called?,UNC
What year did the first American lighthouse open?,UNC
"Who did Scott Bakula play in ""American Beauty""?",HUM
When did Walt Disney die?,UNC
What is Australia's oldest city?,UNC
Who has the most no hitters in major league baseball?,HUM
"What year did ""Snow White"" come out?",UNC
Who was the first woman to run for president?,HUM
What country are Volvo automobiles made in?,UNC
What is the scientific name for leech?,UNC
What body of water does the Euphrates River empty into?,UNC
What were the most points Michael Jordan scored in a game?,UNC
What is David Lee Roth's birthday?,UNC
Who makes viagra?,HUM
What is the date of the Kent State Shooting?,UNC
What country is the holy city of Mecca located in?,UNC
When did they put Mir down?,UNC
"How far is it from Buffalo, New York to Syracuse, New York?",DESC
What is the world's tallest office building?,UNC
What is the fastest car in the world?,UNC
How far does a laser pointer shine?,DESC
How did Adolf Hitler die?,DESC
On what continent is Egypt located?,UNC
What is the life expectancy of the average woman in Nigeria?,UNC
Which president was sworn into office on an airplane?,UNC
Where is the smallest bone in the body?,LOC
How tall is Tom Cruise?,DESC
When did Willis Haviland Carrier make the air conditioner?,UNC
Which river runs through Dublin?,UNC
Who was elected President of South Africa in 1994?,HUM
When was the first heart transplant?,UNC
What is the range for the number of passengers a Boeing 747 airplane can carry?,UNC
What island did the U.S. gain after the Spanish American war?,UNC
"When was the Buckingham Palace built in London, England?",UNC
Where are the British Crown jewels kept?,LOC
When was penicillin first used?,UNC
What was the name of the stage play that A. Lincoln died at?,UNC
When were the first postage stamps issued in the United States?,UNC
What gift is proper for a 1st anniversary?,UNC
What is Nicaragua's main industry?,UNC
How old must you be to become President of the United States?,DESC
Who was the first president to speak on the radio?,HUM
Where did Golda Meir grow up?,LOC
When did Marilyn Monroe commit suicide?,UNC
When is Mexico's independence?,UNC
Who were the architects who designed the Empire State Building?,HUM
Who was the captain of the Titanic?,HUM
What number did Michael Jordan wear?,UNC
What year did Nintendo 64 come out?,UNC
Which film received the first best picture Academy Award?,UNC
Where was the battle of Alamo fought?,LOC
What was Thailand's original name?,UNC
How tall is the CNN Tower in Toronto?,DESC
What city does the Tour de France end in?,UNC
What is the name of Abbott and Costello's famous routine?,UNC
What did Walter Cronkite say at the end of every show?,UNC
How tall is Mike Tyson?,DESC
Which disciple received 30 pieces of silver for betraying Jesus?,UNC
Who was Sherlock Holmes' arch enemy?,HUM
"What river runs through Rome, Italy?",UNC
"What year was Ebbets Field, home of Brooklyn Dodgers, built?",UNC
What was the name of FDR's dog?,UNC
What country was formed in 1948?,UNC
What is the state song of Kansas?,UNC
"What's the final line in the Edgar Allen Poe poem ""The Raven?""",UNC
How much did a quart of milk cost in the 1930's?,DESC
In what month are the most babies born?,UNC
When was the Hellenistic Age?,UNC
What province is Calgary located in?,UNC
What is the oldest sports trophy?,UNC
What is Tina Turners real name?,UNC
What was the name of the plane that dropped the Atomic Bomb on Hiroshima?,UNC
What is the nickname of Oklahoma?,UNC
What is Marilyn Monroe's real name?,UNC
Which country colonized Hong Kong?,UNC
When did Henry VIII rule England?,UNC
Where was the Andersonville Prison?,LOC
What was William Shakespeare's occupation before he began to write plays?,UNC
How fast is the world spinning?,DESC
What city is known as the rubber capital of the world?,UNC
What is the length of Churchill Downs racetrack?,UNC
Tell me where the DuPont company is located.,UNC
What branch of the military has its academy in Annapolis?,UNC
"What Broadway musical is the song ""The Story is Me"" from?",UNC
Where was Bill Gates born?,LOC
What is the GDP of China?,UNC
"Who said ""I have not begun to fight!""?",HUM
What is the major crop grown in Arizona?,UNC
What part of the eye continues to grow throughout a person's life?,UNC
What capital is on the Susquehanna River?,UNC
"In the Bible, who was Jacob's mother?",UNC
What country is Pretoria in?,UNC
How much gravity exists on Mars?,DESC
How did Eva Peron die?,DESC
What is the motto for California?,UNC
When was the battle of Shiloh?,UNC
"What county is St. Paul, Minnesota in?",UNC
How far from the earth is the sun?,DESC
What is the name of a newborn swan?,UNC
What year was the phonograph invented?,UNC
"By what nickname was musician Ernesto Antonio Puente, Jr. best known?",UNC
When was King Louis XIV born?,UNC
What is the scientific name for the zinnia plant?,UNC
What nationality is Sean Connery?,UNC
How much of the ozone layer is depleted?,DESC
Where is the Sea of Tranquility?,LOC
What language do they speak in New Caledonia?,UNC
What are Brazil's national colors?,UNC
What was the name of the first enclosed baseball park?,UNC
What year was the light bulb invented?,UNC
How old is the Red Pyramid?,DESC
"Who is the author of the poem ""The Midnight Ride of Paul Revere?""",HUM
Who was the first black heavyweight champion?,HUM
Where does cinnamon come from?,LOC
What American general is buried in Salzburg?,UNC
"What county is Modesto, California in?",UNC
Who was Galileo?,HUM
What is an atom?,UNC
When did Hawaii become a state?,UNC
How tall is the Sears Building?,DESC
George Bush purchased a small interest in which baseball team?,UNC
What is Australia's national flower?,UNC
Why does the moon turn orange?,DESC
What is autism?,UNC
What city had a world fair in 1900?,UNC
What person's head is on a dime?,UNC
What is the average weight of a Yellow Labrador?,UNC
Who was the first man to fly across the Pacific Ocean?,HUM
When did Idaho become a state?,UNC
What is the life expectancy for crickets?,UNC
What metal has the highest melting point?,UNC
Who developed the vaccination against polio?,HUM
What is epilepsy?,UNC
What year did the Titanic sink?,UNC
Who was the first American to walk in space?,HUM
What is a biosphere?,UNC
What river in the US is known as the Big Muddy?,UNC
What is bipolar disorder? ,UNC
What is cholesterol?,UNC
Who developed the Macintosh computer?,HUM
What is caffeine?,UNC
What imaginary line is halfway between the North and South Poles?,UNC
Where is John Wayne airport?,LOC
What hemisphere is the Philippines in?,UNC
What is the average speed of the horses at the Kentucky Derby?,UNC
Where are the Rocky Mountains?,LOC
What are invertebrates?,UNC
What is the temperature at the center of the earth?,UNC
When did John F. Kennedy get elected as President?,UNC
How old was Elvis Presley when he died?,DESC
Where is the Orinoco River?,LOC
How far is the service line from the net in tennis?,DESC
How much fiber should you have per day?,DESC
How many Great Lakes are there?,DESC
Material called linen is made from what plant?,UNC
What is Teflon?,UNC
What is amitriptyline?,UNC
What is a shaman?,UNC
What is the proper name for a female walrus?,UNC
What is a group of turkeys called?,UNC
How long did Rip Van Winkle sleep?,DESC
What are triglycerides?,UNC
How many liters in a gallon?,DESC
What is the name of the chocolate company in San Francisco?,UNC
What are amphibians?,UNC
Who discovered x-rays?,HUM
"Which comedian's signature line is ""Can we talk""?",UNC
What is fibromyalgia?,UNC
What is done with worn or outdated flags?,UNC
What does cc in engines mean?,UNC
When did Elvis Presley die?,UNC
What is the capital of Yugoslavia?,UNC
Where is Milan?,LOC
What are the speed hummingbirds fly?,UNC
What is the oldest city in the United States?,UNC
What was W.C. Fields' real name?,UNC
"What river flows between Fargo, North Dakota and Moorhead, Minnesota?",UNC
What do bats eat?,UNC
What state did the Battle of Bighorn take place in?,UNC
Who was Abraham Lincoln?,HUM
What do you call a newborn kangaroo?,UNC
What are spider veins?,UNC
What day and month did John Lennon die?,UNC
What strait separates North America from Asia?,UNC
What is the population of Seattle?,UNC
How much was a ticket for the Titanic?,DESC
What is the largest city in the world?,UNC
"What American composer wrote the music for ""West Side Story""?",UNC
Where is the Mall of the America?,LOC
What is the pH scale?,UNC
What type of currency is used in Australia?,UNC
"How tall is the Gateway Arch in St. Louis, MO?",DESC
How much does the human adult female brain weigh?,DESC
Who was the first governor of Alaska?,HUM
What is a prism?,UNC
When was the first liver transplant?,UNC
Who was elected president of South Africa in 1994?,HUM
What is the population of China?,UNC
When was Rosa Parks born?,UNC
Why is a ladybug helpful?,DESC
What is amoxicillin?,UNC
Who was the first female United States Representative?,HUM
What are xerophytes?,UNC
What country did Ponce de Leon come from?,UNC
What is desktop publishing?,UNC
What is the temperature of the sun's surface?,UNC
What year did Canada join the United Nations?,UNC
What is the oldest university in the US?,UNC
Where is Prince Edward Island?,LOC
"Mercury, what year was it discovered?",UNC
What is cryogenics?,UNC
What are coral reefs?,UNC
What is the longest major league baseball-winning streak?,UNC
What is neurology?,UNC
Who invented the calculator?,HUM
How do you measure earthquakes? ,DESC
Who is Duke Ellington?,HUM
"What county is Phoenix, AZ in?",UNC
What is a micron?,UNC
"The sun's core, what is the temperature?",UNC
What is the Ohio state bird?,UNC
When were William Shakespeare's twins born?,UNC
What is the highest dam in the U.S.?,UNC
What color is a poison arrow frog?,UNC
What is acupuncture?,UNC
What is the length of the coastline of the state of Alaska?,UNC
What is the name of Neil Armstrong's wife?,UNC
What is Hawaii's state flower?,UNC
Who won Ms. American in 1989?,HUM
When did the Hindenberg crash?,UNC
What mineral helps prevent osteoporosis?,UNC
What was the last year that the Chicago Cubs won the World Series?,UNC
Where is Perth?,LOC
What year did WWII begin?,UNC
What is the diameter of a golf ball?,UNC
What is an eclipse?,UNC
Who discovered America?,HUM
What is the earth's diameter?,UNC
Which president was unmarried?,UNC
How wide is the Milky Way galaxy?,DESC
During which season do most thunderstorms occur?,UNC
What is Wimbledon?,UNC
What is the gestation period for a cat?,UNC
How far is a nautical mile?,DESC
Who was the abolitionist who led the raid on Harper's Ferry in 1859?,HUM
What does target heart rate mean?,UNC
What was the first satellite to go into space?,UNC
What is foreclosure?,UNC
What is the major fault line near Kentucky?,UNC
Where is the Holland Tunnel?,LOC
"Who wrote the hymn ""Amazing Grace""?",HUM
What position did Willie Davis play in baseball?,UNC
What are platelets?,UNC
What is severance pay?,UNC
What is the name of Roy Roger's dog?,UNC
Where are the National Archives?,LOC
What is a baby turkey called?,UNC
What is poliomyelitis?,UNC
What is the longest bone in the human body?,UNC
Who is a German philosopher?,HUM
What were Christopher Columbus' three ships?,UNC
What does Phi Beta Kappa mean?,UNC
What is nicotine?,UNC
What is another name for vitamin B1?,UNC
Who discovered radium?,HUM
What are sunspots?,UNC
When was Algeria colonized?,UNC
What baseball team was the first to make numbers part of their uniform?,UNC
What continent is Egypt on?,UNC
What is the capital of Mongolia?,UNC
What is nanotechnology?,UNC
In the late 1700's British convicts were used to populate which colony?,UNC
What state is the geographic center of the lower 48 states?,UNC
What is an obtuse angle?,UNC
What are polymers?,UNC
When is hurricane season in the Caribbean?,UNC
Where is the volcano Mauna Loa?,LOC
What is another astronomic term for the Northern Lights?,UNC
What peninsula is Spain part of?,UNC
When was Lyndon B. Johnson born?,UNC
What is acetaminophen?,UNC
What state has the least amount of rain per year?,UNC
Who founded American Red Cross?,HUM
What year did the Milwaukee Braves become the Atlanta Braves?,UNC
How fast is alcohol absorbed?,DESC
When is the summer solstice?,UNC
What is supernova?,UNC
Where is the Shawnee National Forest?,LOC
"What U.S. state's motto is ""Live free or Die""?",UNC
Where is the Lourve?,LOC
When was the first stamp issued?,UNC
What primary colors do you mix to make orange?,UNC
How far is Pluto from the sun?,DESC
What body of water are the Canary Islands in?,UNC
What is neuropathy?,UNC
Where is the Euphrates River?,LOC
What is cryptography?,UNC
What is natural gas composed of?,UNC
Who is the Prime Minister of Canada?,HUM
What French ruler was defeated at the battle of Waterloo?,UNC
What is leukemia?,UNC
Where did Howard Hughes die?,LOC
What is the birthstone for June?,UNC
What is the sales tax in Minnesota?,UNC
What is the distance in miles from the earth to the sun?,UNC
What is the average life span for a chicken?,UNC
When was the first Wal-Mart store opened?,UNC
What is relative humidity?,UNC
What city has the zip code of 35824?,UNC
What currency is used in Algeria?,UNC
Who invented the hula hoop?,HUM
What was the most popular toy in 1957?,UNC
What is pastrami made of?,UNC
"What city's newspaper is called ""The Enquirer""?",UNC
Who invented the slinky?,HUM
What are the animals that don't have backbones called?,UNC
What is the melting point of copper?,UNC
Where is the volcano Olympus Mons located?,LOC
Who was the 23rd president of the United States?,HUM
What is the average body temperature?,UNC
What does a defibrillator do?,UNC
What is the effect of acid rain?,UNC
What year did the United States abolish the draft?,UNC
How fast is the speed of light?,DESC
What province is Montreal in?,UNC
What New York City structure is also known as the Twin Towers?,UNC
What is fungus?,UNC
What is the most frequently spoken language in the Netherlands?,UNC
What is sodium chloride?,UNC
What are the spots on dominoes called?,UNC
How many pounds in a ton?,DESC
What is influenza?,UNC
What is ozone depletion?,UNC
What year was the Mona Lisa painted?,UNC
"What does ""Sitting Shiva"" mean? ",UNC
"What is the electrical output in Madrid, Spain?",UNC
Which mountain range in North America stretches from Maine to Georgia?,UNC
What is plastic made of?,UNC
What is the population of Nigeria?,UNC
What does your spleen do?,UNC
Where is the Grand Canyon?,LOC
Who invented the telephone?,HUM
What year did the U.S. buy Alaska?,UNC
What is the name of the leader of Ireland?,UNC
What is phenylalanine?,UNC
How many gallons of water are there in a cubic foot?,DESC
What are the two houses of the Legislative branch?,UNC
What is sonar?,UNC
"In Poland, where do most people live?",UNC
What is phosphorus?,UNC
What is the location of the Sea of Tranquility?,UNC
How fast is sound?,DESC
What French province is cognac produced in?,UNC
What is Valentine's Day?,UNC
What causes gray hair?,UNC
What is hypertension?,UNC
What is bandwidth?,UNC
What is the longest suspension bridge in the U.S.?,UNC
What is a parasite?,UNC
What is home equity?,UNC
What do meteorologists do?,UNC
What is the criterion for being legally blind?,UNC
Who is the tallest man in the world?,HUM
What are the twin cities?,UNC
What did Edward Binney and Howard Smith invent in 1903?,UNC
What is the statue of liberty made of?,UNC
What is pilates?,UNC
"What planet is known as the ""red"" planet?",UNC
What is the depth of the Nile river?,UNC
What is the colorful Korean traditional dress called?,UNC
What is Mardi Gras?,UNC
Mexican pesos are worth what in U.S. dollars?,UNC
Who was the first African American to play for the Brooklyn Dodgers?,HUM
Who was the first Prime Minister of Canada?,HUM
How many Admirals are there in the U.S. Navy?,DESC
What instrument did Glenn Miller play?,UNC
How old was Joan of Arc when she died?,DESC
What does the word fortnight mean?,UNC
What is dianetics? ,UNC
What is the capital of Ethiopia?,UNC
For how long is an elephant pregnant?,UNC
How did Janice Joplin die?,DESC
What is the primary language in Iceland?,UNC
What is the difference between AM radio stations and FM radio stations?,UNC
What is osteoporosis?,UNC
Who was the first woman governor in the U.S.?,HUM
What is peyote?,UNC
What is the esophagus used for?,UNC
What is viscosity?,UNC
What year did Oklahoma become a state?,UNC
What is the abbreviation for Texas?,UNC
What is a mirror made out of?,UNC
Where on the body is a mortarboard worn?,LOC
What was J.F.K.'s wife's name?,UNC
What does I.V. stand for?,UNC
What is the chunnel?,UNC
Where is Hitler buried?,LOC
What are antacids?,UNC
What is pulmonary fibrosis?,UNC
What are Quaaludes?,UNC
What is naproxen?,UNC
What is strep throat?,UNC
What is the largest city in the U.S.?,UNC
What is foot and mouth disease?,UNC
What is the life expectancy of a dollar bill?,UNC
What do you call a professional map drawer?,UNC
What are Aborigines?,UNC
What is hybridization?,UNC
What color is indigo?,UNC
How old do you have to be in order to rent a car in Italy?,DESC
What does a barometer measure?,UNC
What color is a giraffe's tongue?,UNC
What does USPS stand for?,UNC
What year did the NFL go on strike?,UNC
What is solar wind?,UNC
What date did Neil Armstrong land on the moon?,UNC
When was Hiroshima bombed?,UNC
Where is the Savannah River?,LOC
